,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Ordinary Shares Number,677750000.0,666419000.0,656131643.0,646610643.0,639734000.0,631221000,626464000,619497000,610487000,604674000,600641000,596622000,592196000,585878000,578471000,574595000,568894000
Share Issued,677750000.0,666419000.0,656131643.0,646610643.0,639734000.0,631221000,626464000,619497000,610487000,604674000,600641000,596622000,592196000,585878000,578471000,574595000,568894000
Net Debt,3503800000,294688000.0,403392000.0,39273000.0,138924000.0,326534000.0,2193274000,2193274000,2090000000,1980000000,1925559000,1780262000,3132964000,2000000000,1925559000,1780262000,1600000000
Total Debt,1805182000.0,1805279000.0,1759257000.0,1848655000.0,1821928000.0,1005000000.0,1005000000,1004000000,988984000,988984000,988984000,988984000,988984000,988984000,988984000,988984000,988984000
Tangible Book Value,138732000.0,45775000.0,9183000.0,-63464000.0,-118320000.0,-119890000.0,125786000,168000000,245000000,305000000,424000000,424000000,424000000,424000000,424000000,424000000,424000000
Invested Capital,1317409000.0,1227817000.0,1195928000.0,1127185000.0,1076939000.0,1073626000.0,1130786000,1172000000,1233984000,1293984000,1412984000,1412984000,1412984000,1412984000,1412984000,1412984000,1412984000
Working Capital,71988000.0,64822000.0,-71041000.0,103190000.0,227275000.0,223047000,174321000,267597000,384332000,1357769000,1429922000,1462247000,1579285000,1582673000,593008000,622266000,662479000
Net Tangible Assets,138732000.0,45775000.0,9183000.0,-63464000.0,-118320000.0,-126563000,5555536000,5405766000,5286386000,5186435000,4854216000,4732650000,4541906000,4382859000,3090731000,2976144000,2540309000
Capital Lease Obligations,798460000.0,798908000.0,753234000.0,842976000.0,816590000.0,757800000,629756000,641664000,467187000,494590000,425973000,399776000,259841000,221285000,196447000,206376000,205117000
Common Stock Equity,310687000.0,221446000.0,189905000.0,121506000.0,71601000.0,76290000,125786000,168497000,247842000,306026000,593717000,547088000,561087000,584817000,526690000,573473000,0
