,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0
Normalized EBITDA,-151744000.0,-157110000.0,-161589000.0,-144109000.0,-207101000.0,-260600000,-161600000,-144100000,-207400000,-42100000,-50200000,-66800000,-67900000,-74400000,-74400000,-126700000,-134100000.0
Net Income From Continuing Operation Net Minority Interest,-215056000.0,-219573000.0,-239324000.0,-205883000.0,-270604000.0,-323700000,-239300000,-205900000,-270600000,-289900000,-295300000,-176400000,-160200000,-143300000,-77200000,-140100000,-134200000
Reconciled Depreciation,53734000.0,51311000.0,68613000.0,52772000.0,53741000.0,54500000,68600000,52800000,53700000,46200000,41800000,36000000,32900000,29000000,25800000,22000000,18100000
Reconciled Cost Of Revenue,224725000.0,218741000.0,204998000.0,198557000.0,178866000.0,171700000,205000000,198600000,178900000,156600000,150200000,128800000,115200000,103000000,96000000,88600000,79700000
EBITDA,-151744000.0,-157110000.0,-161589000.0,-144109000.0,-207101000.0,-260600000,-161600000,-144100000,-207400000,-42100000,-50200000,-66800000,-67900000,-74400000,-74400000,-126700000,-134100000
EBIT,-205478000.0,-208421000.0,-230202000.0,-196881000.0,-260842000.0,-315100000,-230200000,-196900000,-261200000,-308100000,-192000000,-142900000,-130400000,-117000000,-100200000,-148700000,-149500000
Net Interest Income,35973000.0,35929000.0,36432000.0,34179000.0,31807000.0,39500000,46700000,44400000,42200000,8100000,4200000,3300000,1500000,500000,100000,300000,200000
Interest Expense,9999000.0,9983000.0,9942000.0,10204000.0,10025000.0,10000000,9900000,10200000,9700000,5900000,3200000,2200000,1000000,400000,300000,300000,300000
Interest Income,46323000.0,46260000.0,46718000.0,44383000.0,42170000.0,49500000,56700000,54600000,51900000,14000000,7400000,5500000,2500000,900000,400000,600000,500000
Normalized Income,-215056000.0,-219573000.0,-239324000.0,-205883000.0,-270604000.0,-323700000,-239300000,-205900000,-270600000,-289900000,-295300000,-176400000,-160200000,-143300000,-77200000,-140100000,-134200000
Net Income From Continuing And Discontinued Operation,-215056000.0,-219573000.0,-239324000.0,-205883000.0,-270604000.0,-323700000,-239300000,-205900000,-270600000,-289900000,-295300000,-176400000,-160200000,-143300000,-77200000,-140100000,-134200000
Total Expenses,1289916000.0,1232295000.0,1197881000.0,1131492000.0,1103628000.0,1107500000,1197800000,1130200000,1103400000,1082800000,978500000,807400000,761500000,666300000,658500000,602800000,521200000
Total Operating Income As Reported,-254709000.0,-244112000.0,-278928000.0,-237949000.0,-302328000.0,-355200000,-278900000,-238000000,-302300000,-305900000,-233100000,-147700000,-150500000,-117000000,-100200000,-148700000,-149500000
Diluted Average Shares,671657000.0,660900000.0,650961000.0,642814000.0,635020000.0,626800000,651000000,642800000,635000000,614700000,605400000,601600000,584700000,581500000,583500000,581600000,568600000
Basic Average Shares,671657000.0,660900000.0,650961000.0,642814000.0,635020000.0,626800000,651000000,642800000,635000000,614700000,605400000,601600000,584700000,581500000,583500000,581600000,568600000
Diluted EPS,-0.32,-0.33,-0.37,-0.32,-0.43,-0.52,-0.37,-0.32,-0.43,-0.49,-0.5,-0.3,-0.27,-0.25,-0.13,-0.25,-0.46
Basic EPS,-0.32,-0.33,-0.37,-0.32,-0.43,-0.52,-0.37,-0.32,-0.43,-0.49,-0.5,-0.3,-0.27,-0.25,-0.13,-0.25,-0.46
Diluted NI Availto Com Stockholders,-215056000.0,-219573000.0,-239324000.0,-205883000.0,-270604000.0,-323700000,-239300000,-205900000,-270600000,-289900000,-295300000,-176400000,-160200000,-143300000,-77200000,-140100000,-134200000
Net Income Common Stockholders,-215056000.0,-219573000.0,-239324000.0,-205883000.0,-270604000.0,-323700000,-239300000,-205900000,-270600000,-289900000,-295300000,-176400000,-160200000,-143300000,-77200000,-140100000,-134200000
Net Income,-215056000.0,-219573000.0,-239324000.0,-205883000.0,-270604000.0,-323700000,-239300000,-205900000,-270600000,-289900000,-295300000,-176400000,-160200000,-143300000,-77200000,-140100000,-134200000
Minority Interests,1284000.0,1479000.0,1123000.0,1312000.0,1316000.0,1600000,1100000,1300000,1300000,1600000,1100000,1300000,1200000,3900000,700000,1000000,0
Net Income Including Noncontrolling Interests,-216340000.0,-221052000.0,-240447000.0,-207195000.0,-271920000.0,-325300000,-240400000,-207200000,-271900000,-291500000,-296300000,-177700000,-161400000,-139400000,-76500000,-139100000,-134200000
Net Income Continuous Operations,-216340000.0,-221052000.0,-240447000.0,-207195000.0,-271920000.0,-325300000,-240400000,-207200000,-271900000,-291500000,-296300000,-177700000,-161400000,-139400000,-76500000,-139100000,-134200000
Tax Provision,863000.0,2648000.0,303000.0,110000.0,1053000.0,900000,300000,100000,1100000,300000,300000,1200000,300000,300000,400000,100000,0
Pretax Income,-215477000.0,-218404000.0,-240144000.0,-207085000.0,-270867000.0,-325100000,-240100000,-207100000,-270800000,-291200000,-296000000,-176500000,-161100000,-139100000,-76100000,-139000000,-134200000
Other Income Expense,3259000.0,-10221000.0,2352000.0,-3315000.0,-346000.0,900000,2300000,-3300000,-300000,300000,1000000,200000,1400000,1500000,-1200000,-400000,200000
Other Non Operating Income Expenses,3259000.0,-10221000.0,2352000.0,-3315000.0,-346000.0,900000,2300000,-3300000,-300000,300000,1000000,200000,1400000,1500000,-1200000,-400000,200000
Net Non Operating Interest Income Expense,35973000.0,35929000.0,36432000.0,34179000.0,31807000.0,10000000,9900000,10200000,9700000,5900000,3200000,2200000,1000000,500000,100000,300000,200000
Total Other Finance Cost,351000.0,348000.0,344000.0,,338000.0,10000000,9900000,10200000,9700000,5900000,3200000,2200000,1000000,500000,100000,300000,0
Interest Expense Non Operating,9999000.0,9983000.0,9942000.0,10204000.0,10025000.0,49500000,56700000,54600000,51900000,14000000,7400000,5500000,2500000,900000,400000,300000,300000
Interest Income Non Operating,46323000.0,46260000.0,46718000.0,44383000.0,42170000.0,49500000,56700000,54600000,51900000,14000000,7400000,5500000,2500000,900000,400000,600000,500000
Operating Income,-254709000.0,-244112000.0,-278928000.0,-237949000.0,-302328000.0,-355200000,-278900000,-238000000,-302300000,-305900000,-233100000,-147700000,-150500000,-117000000,-100200000,-148700000,-149500000
Operating Expense,1065191000.0,1013554000.0,992883000.0,932935000.0,924762000.0,933500000,992900000,932900000,924800000,933500000,828700000,678600000,646200000,563500000,583600000,514800000,441600000
Other Operating Expenses,523691000.0,503432000.0,476134000.0,429334000.0,429339000.0,445100000,476100000,429300000,429300000,445100000,353100000,269800000,270200000,213400000,193800000,173800000,163600000
Research And Development,374600000.0,355034000.0,365424000.0,361684000.0,362065000.0,341100000,365400000,361700000,362100000,301000000,163500000,171000000,168400000,162400000,118400000,124400000,89700000
Selling General And Administration,166900000.0,155088000.0,151325000.0,141917000.0,133358000.0,147300000,151300000,141900000,133400000,165900000,190600000,117400000,110400000,92600000,82300000,78500000,73900000
Selling And Marketing Expense,47768000.0,49765000.0,52592000.0,36290000.0,35534000.0,48500000,52600000,36300000,35500000,28900000,31600000,19800000,18000000,15800000,12900000,12300000,11500000
General And Administrative Expense,119132000.0,105323000.0,98733000.0,105627000.0,97824000.0,98800000,98700000,105600000,97900000,137000000,159000000,97600000,92400000,76800000,69400000,66200000,62400000
Other Gand A,119132000.0,105323000.0,98733000.0,105627000.0,97824000.0,98800000,98700000,105600000,97900000,137000000,159000000,97600000,92400000,76800000,69400000,66200000,62400000
Gross Profit,810482000.0,769442000.0,713955000.0,694986000.0,622434000.0,578300000,714000000,695000000,622400000,637700000,480400000,429200000,391100000,425800000,361700000,315800000,307400000
Cost Of Revenue,224725000.0,218741000.0,204998000.0,198557000.0,178866000.0,171700000,205000000,198600000,178900000,156600000,150200000,128800000,115200000,103000000,96000000,88600000,79700000
Total Revenue,1035207000.0,988183000.0,918953000.0,893543000.0,801300000.0,749900000,918900000,893500000,801300000,794300000,630600000,558000000,506300000,528800000,457700000,404400000,387000000
