date,qbs_Ordinary Shares Number,qbs_Share Issued,qbs_Net Debt,qbs_Total Debt,qbs_Tangible Book Value,qbs_Invested Capital,qbs_Working Capital,qbs_Net Tangible Assets,qbs_Capital Lease Obligations,qbs_Common Stock Equity,qbs_Total Capitalization,qbs_Total Equity Gross Minority Interest,qbs_Minority Interest,qbs_Stockholders Equity,qbs_Gains Losses Not Affecting Retained Earnings,qbs_Other Equity Adjustments,qbs_Retained Earnings,qbs_Additional Paid In Capital,qbs_Capital Stock,qbs_Common Stock,qbs_Total Liabilities Net Minority Interest,qbs_Total Non Current Liabilities Net Minority Interest,qbs_Other Non Current Liabilities,qbs_Non Current Deferred Liabilities,qbs_Non Current Deferred Revenue,qbs_Long Term Debt And Capital Lease Obligation,qbs_Long Term Capital Lease Obligation,qbs_Long Term Debt,qbs_Current Liabilities,qbs_Other Current Liabilities,qbs_Current Deferred Liabilities,qbs_Current Deferred Revenue,qbs_Current Debt And Capital Lease Obligation,qbs_Current Capital Lease Obligation,qbs_Pensionand Other Post Retirement Benefit Plans Current,qbs_Payables And Accrued Expenses,qbs_Current Accrued Expenses,qbs_Interest Payable,qbs_Payables,qbs_Total Tax Payable,qbs_Accounts Payable,qbs_Total Assets,qbs_Total Non Current Assets,qbs_Other Non Current Assets,qbs_Non Current Deferred Assets,qbs_Investments And Advances,qbs_Investmentin Financial Assets,qbs_Held To Maturity Securities,qbs_Goodwill And Other Intangible Assets,qbs_Other Intangible Assets,qbs_Goodwill,qbs_Net PPE,qbs_Accumulated Depreciation,qbs_Gross PPE,qbs_Leases,qbs_Construction In Progress,qbs_Other Properties,qbs_Machinery Furniture Equipment,qbs_Properties,qbs_Current Assets,qbs_Other Current Assets,qbs_Current Deferred Assets,qbs_Prepaid Assets,qbs_Receivables,qbs_Accrued Interest Receivable,qbs_Accounts Receivable,qbs_Cash Cash Equivalents And Short Term Investments,qbs_Other Short Term Investments,qbs_Cash And Cash Equivalents
2021-03-31,568894000,568894000,1600000000,988984000,424000000,1412984000,662479000,2540309000,205117000,0,2816079000,591594000,18121000,609715000,90000,90000,-626507000,1199833000,57000,57000,2224485000,714130000,505000,528904000,528904000,205117000,205117000,0,1510355000,122285000,1295464000,1295464000,0,0,0,130554000,122285000,0,8269000,0,0,2816079000,643245000,4969000,123595000,0,0,0,99770000,40202000,59568000,209794000,<null>,<null>,205117000,1165000,<null>,<null>,0,1874600000,29135000,309388000,28300000,233781000,0,233781000,1600530000,0,1600530000
2021-06-30,574595000.0,574595000.0,1780262000.0,988984000.0,424000000.0,1412984000.0,622266000.0,2976144000.0,206376000.0,573473000.0,3073791000.0,542039000.0,15349000.0,558388000.0,114000.0,114000.0,-766641000.0,1293160000.0,57000.0,57000.0,2531752000.0,759741000.0,22109000.0,551665000.0,551665000.0,206376000.0,206376000.0,0.0,1772011000.0,182084000.0,1488200000.0,1488200000.0,0.0,0.0,0.0,193196000.0,182084000.0,0.0,11112000.0,,,3073791000.0,679514000.0,8043000.0,127011000.0,0.0,0.0,,97647000.0,38079000.0,59568000.0,218581000.0,,,228232000.0,,,,0.0,2202500000.0,45432000.0,351573000.0,40200000.0,217010000.0,0.0,217010000.0,1800000000.0,0.0,1800000000.0
2021-09-30,578471000.0,578471000.0,1925559000.0,988984000.0,424000000.0,1412984000.0,593008000.0,3090731000.0,196447000.0,526690000.0,3272280000.0,605831000.0,12114000.0,605831000.0,112000.0,112000.0,-840643000.0,1434190000.0,58000.0,58000.0,2666449000.0,748858000.0,1408000.0,550118000.0,550118000.0,196447000.0,196447000.0,0.0,1917591000.0,157916000.0,1621186000.0,1621186000.0,0.0,0.0,0.0,178649000.0,157916000.0,0.0,20733000.0,,,3272280000.0,760681000.0,5755000.0,125643000.0,0.0,0.0,,181549000.0,63478000.0,118071000.0,227330000.0,,,220404000.0,,,,0.0,2511600000.0,37667000.0,379611000.0,37700000.0,168762000.0,0.0,168762000.0,1925559000.0,0.0,1925559000.0
2021-12-31,585878000.0,585878000.0,2000000000.0,988984000.0,424000000.0,1412984000.0,1582673000.0,4382859000.0,221285000.0,584817000.0,4560596000.0,592923000.0,8106000.0,592923000.0,62000.0,62000.0,-983941000.0,1568638000.0,58000.0,58000.0,3967673000.0,1800581000.0,1408000.0,616834000.0,616834000.0,221285000.0,221285000.0,0.0,1228546000.0,180769000.0,1758022000.0,1758022000.0,0.0,0.0,0.0,192781000.0,180769000.0,6500000.0,12012000.0,,,4560596000.0,810831000.0,2933000.0,137524000.0,0.0,0.0,,177737000.0,59666000.0,118071000.0,271352000.0,,,221285000.0,,,,0.0,3749800000.0,32091000.0,406025000.0,32100000.0,307349000.0,0.0,307349000.0,3004300000.0,0.0,3004300000.0
2022-03-31,592196000.0,592196000.0,3132964000.0,988984000.0,424000000.0,1412984000.0,1579285000.0,4541906000.0,259841000.0,561087000.0,4715831000.0,567461000.0,6374000.0,567461000.0,-30000.0,-30000.0,-1144143000.0,1705201000.0,59000.0,59000.0,4148370000.0,1973642000.0,1408000.0,724359000.0,724359000.0,1247875000.0,259841000.0,988034000.0,2174728000.0,223323000.0,1747294000.0,1747294000.0,0.0,0.0,0.0,277618000.0,223323000.0,6500000.0,54295000.0,,,4715831000.0,961818000.0,3368000.0,159404000.0,0.0,0.0,,173925000.0,55854000.0,118071000.0,338879000.0,,,286242000.0,,,,0.0,3754000000.0,43123000.0,398194000.0,43100000.0,179732000.0,0.0,179732000.0,3132964000.0,0.0,3132964000.0
2022-06-30,596622000.0,596622000.0,1780262000.0,988984000.0,424000000.0,1412984000.0,1462247000.0,4732650000.0,399776000.0,547088000.0,4919420000.0,551593000.0,4505000.0,551593000.0,408000.0,408000.0,-1320583000.0,1867204000.0,59000.0,59000.0,4367827000.0,2104288000.0,13000.0,716154000.0,716154000.0,1388121000.0,399776000.0,988345000.0,2263539000.0,231199000.0,1807639000.0,1807639000.0,0.0,0.0,0.0,308708000.0,231199000.0,0.0,77509000.0,,,4919420000.0,1193634000.0,2170000.0,154328000.0,0.0,0.0,,186770000.0,56317000.0,130453000.0,425950000.0,,,424416000.0,,,,0.0,3754000000.0,57595000.0,405891000.0,43100000.0,186825000.0,0.0,186825000.0,3070000000.0,0.0,3070000000.0
2022-09-30,600641000.0,600641000.0,1925559000.0,988984000.0,424000000.0,1412984000.0,1429922000.0,4854216000.0,425973000.0,593717000.0,5038324000.0,424593000.0,876000.0,605831000.0,997000.0,997000.0,-1618381000.0,2041042000.0,59000.0,59000.0,4613731000.0,2375573000.0,13000.0,960924000.0,960924000.0,1414636000.0,425973000.0,988663000.0,2238158000.0,260395000.0,1750860000.0,1750860000.0,0.0,0.0,0.0,305494000.0,260395000.0,6500000.0,45099000.0,,,5038324000.0,1370244000.0,2435000.0,204921000.0,0.0,0.0,,184108000.0,53655000.0,130453000.0,525928000.0,,,452852000.0,23651000.0,,,0.0,3668100000.0,72925000.0,387817000.0,72900000.0,185831000.0,0.0,185831000.0,3021507000.0,0.0,3021507000.0
2022-12-31,604674000.0,604674000.0,1980000000.0,988984000.0,305000000.0,1293984000.0,1357769000.0,5186435000.0,494590000.0,306026000.0,5375487000.0,305035000.0,-991000.0,305035000.0,671000.0,671000.0,-1908307000.0,2213603000.0,59000.0,59000.0,5070452000.0,2589617000.0,10752000.0,1095291000.0,1095291000.0,1483574000.0,494590000.0,988984000.0,2480835000.0,236006000.0,1941943000.0,1941943000.0,0.0,0.0,0.0,307188000.0,236006000.0,0.0,71182000.0,,,5375487000.0,1536883000.0,4323000.0,225132000.0,0.0,0.0,,189052000.0,54717000.0,134335000.0,592346000.0,,,526030000.0,,,,0.0,3838600000.0,61641000.0,420136000.0,61600000.0,379353000.0,0.0,379353000.0,2977474000.0,0.0,2977474000.0
2023-03-31,610487000.0,610487000.0,2090000000.0,988984000.0,245000000.0,1233984000.0,384332000.0,5286386000.0,467187000.0,247842000.0,5471460000.0,245182000.0,-2660000.0,245182000.0,62000.0,62000.0,-2176620000.0,2424340000.0,60000.0,60000.0,5226278000.0,2592538000.0,12722000.0,1123321000.0,1123321000.0,1456495000.0,467187000.0,989308000.0,2633740000.0,247949000.0,2037696000.0,2037696000.0,0.0,0.0,0.0,368205000.0,247949000.0,6500000.0,120256000.0,,,5471460000.0,2453388000.0,6481000.0,229877000.0,2263791000.0,2263791000.0,,185074000.0,50739000.0,134335000.0,688341000.0,,,492686000.0,,,,0.0,3018100000.0,76307000.0,435528000.0,76300000.0,265246000.0,0.0,265246000.0,2240991000.0,1412862000.0,828100000.0
2023-06-30,619497000.0,619497000.0,2193274000.0,1004000000.0,168000000.0,1172000000.0,267597000.0,5405766000.0,641664000.0,168497000.0,5599277000.0,164200000.0,-4297000.0,164200000.0,-14095000.0,-14095000.0,-2459397000.0,2641929000.0,60000.0,60000.0,5435077000.0,2808384000.0,13039000.0,1149346000.0,1149346000.0,1645999000.0,641664000.0,1004335000.0,2626693000.0,216273000.0,2117043000.0,2117043000.0,0.0,0.0,0.0,289102000.0,216273000.0,0.0,72829000.0,,,5599277000.0,2704987000.0,11014000.0,235903000.0,2504499000.0,2504499000.0,,193511000.0,59176000.0,134335000.0,684734000.0,,,674928000.0,,,,0.0,3018100000.0,69107000.0,447962000.0,76300000.0,257355000.0,11032000.0,257355000.0,2119866000.0,1599602000.0,520264000.0
2023-09-30,626464000.0,626464000.0,2193274000.0,1005000000.0,125786000.0,1130786000.0,174321000.0,5555536000.0,629756000.0,125786000.0,5754130000.0,119854000.0,-5932000.0,119854000.0,-15879000.0,-15879000.0,-2736555000.0,2878160000.0,60000.0,60000.0,5634276000.0,2839141000.0,15904000.0,1188815000.0,1188815000.0,1634422000.0,629756000.0,1004666000.0,2795135000.0,247949000.0,2208531000.0,2208531000.0,0.0,0.0,0.0,368205000.0,247949000.0,6500000.0,120256000.0,,,5754130000.0,2784674000.0,10512000.0,244547000.0,2535553000.0,2535553000.0,959260000.0,198594000.0,56794000.0,141800000.0,709382000.0,,,662379000.0,77000000.0,,,0.0,2969500000.0,65004000.0,462795000.0,65000000.0,285315000.0,0.0,285315000.0,2156342000.0,1576293000.0,580000000.0
2023-12-31,631221000.0,631221000.0,326534000.0,1005000000.0,-119890000.0,1073626000.0,223047000.0,-126563000.0,757800000.0,76290000.0,1073626000.0,68626000.0,-7664000.0,68626000.0,1536000.0,1536000.0,-3060253000.0,3134946000.0,61000.0,61000.0,6099452000.0,3047086000.0,22330000.0,1373250000.0,1373250000.0,1005000000.0,646500000.0,1005000000.0,3052366000.0,271121000.0,2406292000.0,2406292000.0,331208000.0,271121000.0,0.0,60087000.0,271100000.0,60087000.0,6168078000.0,2892665000.0,10284000.0,283326000.0,2558207000.0,2558207000.0,,195189000.0,53060000.0,142129000.0,695360000.0,,,665107000.0,,,,695360000.0,3275413000.0,74549000.0,0.0,74549000.0,505769000.0,501821000.0,505769000.0,2193274000.0,1514808000.0,678466000.0,2193274000.0,1514808000.0,678466000.0
