date,roblox_trend_web,roblox_trend_news
2021-03-10,100,100
2021-03-11,89,61
2021-03-12,83,31
2021-03-13,89,34
2021-03-14,87,30
2021-03-15,67,28
2021-03-16,71,30
2021-03-17,77,27
2021-03-18,77,35
2021-03-19,81,26
2021-03-20,92,25
2021-03-21,86,26
2021-03-22,76,23
2021-03-23,71,18
2021-03-24,75,25
2021-03-25,73,19
2021-03-26,77,24
2021-03-27,98,32
2021-03-28,83,23
2021-03-29,74,27
2021-03-30,78,20
2021-03-31,74,24
2021-04-01,81,32
2021-04-02,85,26
2021-04-03,93,22
2021-04-04,89,32
2021-04-05,87,19
2021-04-06,80,22
2021-04-07,78,29
2021-04-08,78,23
2021-04-09,83,21
2021-04-10,90,27
2021-04-11,88,17
2021-04-12,75,31
2021-04-13,77,24
2021-04-14,76,20
2021-04-15,81,22
2021-04-16,83,20
2021-04-17,89,24
2021-04-18,91,12
2021-04-19,75,23
2021-04-20,79,20
2021-04-21,74,18
2021-04-22,80,21
2021-04-23,88,21
2021-04-24,98,28
2021-04-25,90,21
2021-04-26,75,21
2021-04-27,75,12
2021-04-28,88,27
2021-04-29,79,20
2021-04-30,85,21
2021-05-01,93,23
2021-05-02,96,26
2021-05-03,89,26
2021-05-04,79,22
2021-05-05,79,19
2021-05-06,83,22
2021-05-07,83,18
2021-05-08,97,22
2021-05-09,92,28
2021-05-10,83,24
2021-05-11,80,24
2021-05-12,80,19
2021-05-13,89,22
2021-05-14,85,16
2021-05-15,97,23
2021-05-16,90,19
2021-05-17,79,20
2021-05-18,79,16
2021-05-19,80,22
2021-05-20,85,12
2021-05-21,84,26
2021-05-22,94,36
2021-05-23,87,24
2021-05-24,84,24
2021-05-25,86,20
2021-05-26,79,22
2021-05-27,80,25
2021-05-28,84,23
2021-05-29,91,27
2021-05-30,91,21
2021-05-31,82,32
2021-06-01,79,26
2021-06-02,82,24
2021-06-03,80,26
2021-06-04,87,21
2021-06-05,96,30
2021-06-06,89,33
2021-06-07,80,22
2021-06-08,79,72
2021-06-09,80,53
2021-06-10,75,69
2021-06-11,80,50
2021-06-12,89,74
2021-06-13,85,70
2021-06-14,75,57
2021-06-15,74,73
2021-06-16,77,76
2021-06-17,76,64
2021-06-18,77,52
2021-06-19,84,66
2021-06-20,82,66
2021-06-21,79,62
2021-06-22,72,43
2021-06-23,75,79
2021-06-24,83,70
2021-06-25,85,42
2021-06-26,89,64
2021-06-27,86,43
2021-06-28,79,65
2021-06-29,81,50
2021-06-30,83,70
2021-07-01,82,75
2021-07-02,88,61
2021-07-03,91,76
2021-07-04,88,68
2021-07-05,79,75
2021-07-06,80,80
2021-07-07,85,88
2021-07-08,85,62
2021-07-09,85,78
2021-07-10,94,71
2021-07-11,88,67
2021-07-12,88,61
2021-07-13,91,74
2021-07-14,84,38
2021-07-15,88,62
2021-07-16,91,69
2021-07-17,98,70
2021-07-18,89,88
2021-07-19,83,56
2021-07-20,95,100
2021-07-21,93,77
2021-07-22,91,91
2021-07-23,89,76
2021-07-24,89,54
2021-07-25,90,56
2021-07-26,87,63
2021-07-27,88,73
2021-07-28,87,67
2021-07-29,85,63
2021-07-30,89,42
2021-07-31,89,77
2021-08-01,91,66
2021-08-02,84,54
2021-08-03,86,83
2021-08-04,86,57
2021-08-05,84,62
2021-08-06,82,74
2021-08-07,93,82
2021-08-08,90,58
2021-08-09,85,68
2021-08-10,85,62
2021-08-11,80,54
2021-08-12,81,55
2021-08-13,85,64
2021-08-14,90,74
2021-08-15,87,80
2021-08-16,85,64
2021-08-17,93,68
2021-08-18,86,80
2021-08-19,87,46
2021-08-20,90,68
2021-08-21,94,70
2021-08-22,95,66
2021-08-23,80,43
2021-08-24,81,74
2021-08-25,77,66
2021-08-26,81,42
2021-08-27,83,69
2021-08-28,89,79
2021-08-29,93,58
2021-08-30,82,54
2021-08-31,82,58
2021-09-01,82,70
2021-09-02,78,50
2021-09-03,84,62
2021-09-04,99,85
2021-09-05,100,77
2021-09-06,32,8
2021-09-07,30,6
2021-09-08,30,6
2021-09-09,28,5
2021-09-10,30,5
2021-09-11,37,7
2021-09-12,36,4
2021-09-13,27,6
2021-09-14,27,5
2021-09-15,27,3
2021-09-16,28,3
2021-09-17,29,2
2021-09-18,36,5
2021-09-19,34,8
