date,ccu
2020-01-05,2629798.0
2020-01-06,3139006.0
2020-01-07,2877557.0
2020-01-08,2772943.0
2020-01-09,2644081.0
2020-01-10,2681132.0
2020-01-11,3345525.0
2020-01-12,3485925.0
2020-01-13,3116054.0
2020-01-14,2898364.0
2020-01-15,2817918.0
2020-01-16,2798665.0
2020-01-17,2824652.0
2020-01-18,3489601.0
2020-01-19,3612910.0
2020-01-20,3428645.0
2020-01-21,3224002.0
2020-01-22,3078563.0
2020-01-23,3000541.0
2020-01-24,2915185.0
2020-01-25,3515450.0
2020-01-26,3563024.0
2020-01-27,3195155.0
2020-01-28,2910865.0
2020-01-29,2785077.0
2020-01-30,2702340.0
2020-01-31,2752085.0
2020-02-01,3668315.0
2020-02-02,3641870.0
2020-02-03,3124998.0
2020-02-04,2857997.0
2020-02-05,2796539.0
2020-02-06,2739506.0
2020-02-07,3125401.0
2020-02-08,3666343.0
2020-02-09,3714228.0
2020-02-10,3137891.0
2020-02-11,2873599.0
2020-02-12,2723751.0
2020-02-13,2653934.0
2020-02-14,1624783.0
2020-02-15,2685163.0
2020-02-16,2711182.0
2020-02-17,1719886.0
2020-02-18,1462730.0
2020-02-19,1443771.0
2020-02-20,1434341.0
2020-02-21,713858.0
2020-02-22,2492613.0
2020-02-23,2536535.0
2020-02-24,1592078.0
2020-02-25,1498473.0
2020-02-26,1382411.0
2020-02-27,1342285.0
2020-02-28,1562017.0
2020-02-29,2754877.0
2020-03-01,2666970.0
2020-03-02,1391791.0
2020-03-03,1332351.0
2020-03-04,129539.0
2020-03-05,1347646.0
2020-03-06,1589546.0
2020-03-07,2852458.0
2020-03-08,2864165.0
2020-03-09,1713949.0
2020-03-10,1505857.0
2020-03-11,538465.0
2020-03-12,293672.0
2020-03-13,3855877.0
2020-03-14,3180211.0
2020-03-15,2688550.0
2020-03-16,3884661.0
2020-03-17,3995901.0
2020-03-18,3883864.0
2020-03-19,3973392.0
2020-03-20,4155174.0
2020-03-21,2942775.0
2020-03-22,3592865.0
2020-03-23,2645023.0
2020-03-24,2660990.0
2020-03-25,2711115.0
2020-03-26,2825901.0
2020-03-27,2893939.0
2020-03-28,3261544.0
2020-03-29,3235390.0
2020-03-30,2946681.0
2020-03-31,2997067.0
2020-04-01,3059568.0
2020-04-02,3142634.0
2020-04-03,3242182.0
2020-04-04,3742421.0
2020-04-05,3695371.0
2020-04-06,3269671.0
2020-04-07,3419100.0
2020-04-08,3511901.0
2020-04-09,3469984.0
2020-04-10,3620014.0
2020-04-11,3859277.0
2020-04-12,3741835.0
2020-04-13,3544067.0
2020-04-14,3405967.0
2020-04-15,3359585.0
2020-04-16,3317306.0
2020-04-17,3427178.0
2020-04-18,3932944.0
2020-04-19,3846490.0
2020-04-20,
2020-04-21,3226612.0
2020-04-22,3225987.0
2020-04-23,3201581.0
2020-04-24,3323011.0
2020-04-25,3822253.0
2020-04-26,3827641.0
2020-04-27,3263476.0
2020-04-28,3205013.0
2020-04-29,3230325.0
2020-04-30,3275003.0
2020-05-01,3589810.0
2020-05-02,3816990.0
2020-05-03,3815719.0
2020-05-04,3314439.0
2020-05-05,3400380.0
2020-05-06,3306011.0
2020-05-07,3346630.0
2020-05-08,3408705.0
2020-05-09,3702703.0
2020-05-10,3742603.0
2020-05-11,3211034.0
2020-05-12,3176401.0
2020-05-13,3199979.0
2020-05-14,3158807.0
2020-05-15,3255725.0
2020-05-16,3748981.0
2020-05-17,3703475.0
2020-05-18,3152887.0
2020-05-19,3147763.0
2020-05-20,3276731.0
2020-05-21,3443297.0
2020-05-22,3521016.0
2020-05-23,3765301.0
2020-05-24,3718744.0
2020-05-25,3395331.0
2020-05-26,3317816.0
2020-05-27,3309325.0
2020-05-28,3339797.0
2020-05-29,3601584.0
2020-05-30,3834725.0
2020-05-31,3687548.0
2020-06-01,3443314.0
2020-06-02,3244124.0
2020-06-03,3325750.0
2020-06-04,3262484.0
2020-06-05,3714577.0
2020-06-06,4116326.0
2020-06-07,4066049.0
2020-06-08,3497522.0
2020-06-09,3500944.0
2020-06-10,3569348.0
2020-06-11,3586459.0
2020-06-12,3681385.0
2020-06-13,4106974.0
2020-06-14,4107112.0
2020-06-15,3585281.0
2020-06-16,3523687.0
2020-06-17,3570287.0
2020-06-18,3606453.0
2020-06-19,3721966.0
2020-06-20,4134179.0
2020-06-21,4046125.0
2020-06-22,3623990.0
2020-06-23,3582164.0
2020-06-24,3687682.0
2020-06-25,3636572.0
2020-06-26,3729623.0
2020-06-27,4122810.0
2020-06-28,4100580.0
2020-06-29,3807218.0
2020-06-30,3868569.0
2020-07-01,3857204.0
2020-07-02,3812953.0
2020-07-03,3906434.0
2020-07-04,4241740.0
2020-07-05,4158565.0
2020-07-06,3927829.0
2020-07-07,3889568.0
2020-07-08,3847370.0
2020-07-09,3778592.0
2020-07-10,3939505.0
2020-07-11,4286576.0
2020-07-12,4303361.0
2020-07-13,3967240.0
2020-07-14,3923237.0
2020-07-15,3855789.0
2020-07-16,3879052.0
2020-07-17,3934532.0
2020-07-18,4180057.0
2020-07-19,4277228.0
2020-07-20,3974992.0
2020-07-21,3993183.0
2020-07-22,3965189.0
2020-07-23,4066801.0
2020-07-24,4157550.0
2020-07-25,4233143.0
2020-07-26,4221729.0
2020-07-27,4148887.0
2020-07-28,4305609.0
2020-07-29,3997579.0
2020-07-30,4061997.0
2020-07-31,4050063.0
2020-08-01,4003600.0
2020-08-02,4101755.0
2020-08-03,4453826.0
2020-08-04,4366492.0
2020-08-05,4124219.0
2020-08-06,4084045.0
2020-08-07,4039738.0
2020-08-08,3967520.0
2020-08-09,4136479.0
2020-08-10,4500904.0
2020-08-11,4518527.0
2020-08-12,4165601.0
2020-08-13,4119397.0
2020-08-14,4048578.0
2020-08-15,4073004.0
2020-08-16,4131257.0
2020-08-17,4389059.0
2020-08-18,4491088.0
2020-08-19,4173741.0
2020-08-20,4192841.0
2020-08-21,4163449.0
2020-08-22,4270140.0
2020-08-23,4365427.0
2020-08-24,4444799.0
2020-08-25,4432815.0
2020-08-26,3997127.0
2020-08-27,3226212.0
2020-08-28,3615939.0
2020-08-29,4495484.0
2020-08-30,4187086.0
2020-08-31,3658268.0
2020-09-01,3533780.0
2020-09-02,3745726.0
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,4991958.0
2020-09-11,2896349.0
2020-09-12,4781570.0
2020-09-13,4934470.0
2020-09-14,2672339.0
2020-09-15,2562298.0
2020-09-16,2665813.0
2020-09-17,2593244.0
2020-09-18,2663500.0
2020-09-19,4662583.0
2020-09-20,4782521.0
2020-09-21,2517737.0
2020-09-22,
2020-09-23,2360374.0
2020-09-24,2195087.0
2020-09-25,2319525.0
2020-09-26,4450588.0
2020-09-27,4663035.0
2020-09-28,2306914.0
2020-09-29,2146520.0
2020-09-30,2226337.0
2020-10-01,2162277.0
2020-10-02,2282827.0
2020-10-03,4731664.0
2020-10-04,4891752.0
2020-10-05,2428569.0
2020-10-06,2335435.0
2020-10-07,2418012.0
2020-10-08,2355916.0
2020-10-09,2614504.0
2020-10-10,4792343.0
2020-10-11,5266442.0
2020-10-12,2809571.0
2020-10-13,2681321.0
2020-10-14,2724205.0
2020-10-15,2572029.0
2020-10-16,2769390.0
2020-10-17,4628596.0
2020-10-18,4791371.0
2020-10-19,2710872.0
2020-10-20,2612399.0
2020-10-21,2656525.0
2020-10-22,2653925.0
2020-10-23,3060140.0
2020-10-24,4535887.0
2020-10-25,4784009.0
2020-10-26,3222473.0
2020-10-27,3115724.0
2020-10-28,3098513.0
2020-10-29,3523811.0
2020-10-30,3538026.0
2020-10-31,4298443.0
2020-11-01,4367900.0
2020-11-02,3028756.0
2020-11-03,2849663.0
2020-11-04,2877332.0
2020-11-05,2831688.0
2020-11-06,3139438.0
2020-11-07,4712008.0
2020-11-08,4810387.0
2020-11-09,2971485.0
2020-11-10,3228413.0
2020-11-11,4243334.0
2020-11-12,543492.0
2020-11-13,4473203.0
2020-11-14,7888655.0
2020-11-15,8029984.0
2020-11-16,5036085.0
2020-11-17,3733414.0
2020-11-18,3300826.0
2020-11-19,3585620.0
2020-11-20,2934110.0
2020-11-21,4329655.0
2020-11-22,4524179.0
2020-11-23,2933881.0
2020-11-24,2882412.0
2020-11-25,3180037.0
2020-11-26,3233698.0
2020-11-27,3441893.0
2020-11-28,4807818.0
2020-11-29,4864536.0
2020-11-30,2975294.0
2020-12-01,2780635.0
2020-12-02,2984890.0
2020-12-03,2827181.0
2020-12-04,2942287.0
2020-12-05,4668847.0
2020-12-06,4693918.0
2020-12-07,2987928.0
2020-12-08,2861453.0
2020-12-09,2823817.0
2020-12-10,2896241.0
2020-12-11,3081539.0
2020-12-12,4564298.0
2020-12-13,4747252.0
2020-12-14,3004740.0
2020-12-15,2961115.0
2020-12-16,3515666.0
2020-12-17,3368909.0
2020-12-18,3441868.0
2020-12-19,4718808.0
2020-12-20,4688516.0
2020-12-21,3943523.0
2020-12-22,3881583.0
2020-12-23,4048565.0
2020-12-24,3898494.0
2020-12-25,3568435.0
2020-12-26,3944666.0
2020-12-27,4219326.0
2020-12-28,3965481.0
2020-12-29,4172494.0
2020-12-30,4291398.0
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,4517941.0
2021-01-04,3923377.0
2021-01-05,3782475.0
2021-01-06,3774659.0
2021-01-07,3658489.0
2021-01-08,3707933.0
2021-01-09,5009346.0
2021-01-10,4943297.0
2021-01-11,3969529.0
2021-01-12,4022041.0
2021-01-13,4087161.0
2021-01-14,4058638.0
2021-01-15,4453235.0
2021-01-16,5107549.0
2021-01-17,5062894.0
2021-01-18,4960787.0
2021-01-19,4226386.0
2021-01-20,4270337.0
2021-01-21,4216035.0
2021-01-22,4587446.0
2021-01-23,5358439.0
2021-01-24,5255528.0
