date,registrations
2020-03-15,1506030015.0
2020-03-16,1508250359.0
2020-03-17,1510229743.0
2020-03-18,
2020-03-19,
2020-03-20,1516161183.0
2020-03-21,1518365391.0
2020-03-22,
2020-03-23,1522773183.0
2020-03-24,
2020-03-25,1526820415.0
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,2245499591.0
2020-12-28,2248125267.0
2020-12-29,2250751335.0
2020-12-30,2253334151.0
2020-12-31,2256095047.0
2021-01-01,2258840031.0
2021-01-02,2261751767.0
2021-01-03,2265314999.0
2021-01-04,2267716487.0
2021-01-05,2270000975.0
2021-01-06,2272264799.0
2021-01-07,2274599943.0
2021-01-08,2278414367.0
2021-01-09,2281121671.0
2021-01-10,2283536195.0
2021-01-11,2285856423.0
2021-01-12,2288893831.0
2021-01-13,2290869619.0
2021-01-14,2292834023.0
2021-01-15,2294801143.0
2021-01-16,2296937207.0
2021-01-17,2299517703.0
2021-01-18,2301930503.0
2021-01-19,2308543927.0
2021-01-20,2310883063.0
2021-01-21,2312927495.0
2021-01-22,2314964911.0
2021-01-23,2317197979.0
2021-01-24,2319827783.0
2021-01-25,2322400983.0
2021-01-26,2324532098.0
2021-01-27,2326681967.0
2021-01-28,2328816599.0
2021-01-29,2330955391.0
2021-01-30,2333298871.0
2021-01-31,2336327303.0
2021-02-01,2339080103.0
2021-02-02,2341267895.0
2021-02-03,2343586871.0
2021-02-04,2345948231.0
2021-02-05,2348229383.0
2021-02-06,2350472071.0
2021-02-07,2353157319.0
2021-02-08,2355777303.0
2021-02-09,2358026015.0
2021-02-10,2361379907.0
2021-02-11,2363605839.0
2021-02-12,2365789447.0
2021-02-13,2368167043.0
2021-02-14,2370878339.0
2021-02-15,2373482631.0
2021-02-16,2375835111.0
2021-02-17,2378055591.0
2021-02-18,2380276079.0
2021-02-19,2382525799.0
2021-02-20,2384901659.0
2021-02-21,2387626439.0
2021-02-22,2390238087.0
2021-02-23,2392430815.0
2021-02-24,2394540159.0
2021-02-25,2396568775.0
2021-02-26,2398623267.0
2021-02-27,2400854243.0
2021-02-28,2403488003.0
2021-03-01,2406027439.0
2021-03-02,2408087461.0
2021-03-03,2410123367.0
2021-03-04,2412115103.0
2021-03-05,2414159143.0
2021-03-06,2416369007.0
2021-03-07,2419097119.0
2021-03-08,2421332871.0
2021-03-09,2423747431.0
2021-03-10,2425654815.0
2021-03-11,2427567239.0
2021-03-12,2429614971.0
2021-03-13,2431796151.0
2021-03-14,2434477407.0
2021-03-15,2437080871.0
2021-03-16,2439201139.0
2021-03-17,2440207239.0
2021-03-18,2443338967.0
2021-03-19,2445558211.0
2021-03-20,2447961775.0
2021-03-21,2450823287.0
2021-03-22,2453419463.0
2021-03-23,2455563399.0
2021-03-24,2457672647.0
2021-03-25,2459795111.0
2021-03-26,2461825775.0
2021-03-27,2464069095.0
2021-03-28,2466763231.0
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
